TC_ID,Test Category,Test Case Description,lat,lng,accuracy,name,phone_number,address,types,website,language,API Key,Content-Type,Expected Status Code,Expected Behavior
TC_001,Positive,Valid request with all required fields,-38.383494,33.427362,50,House Of Collab,(+91) 123 456 7890,Secret,"[""shoe park"",""shop""]",http://test.com,en-AED,qaclick123,application/json,200,Place created successfully with valid place_id returned
TC_002,Positive,Valid request with different lat/lng,40.712776,-74.005974,30,New York Office,(+1) 212 555 1234,123 Broadway,"[""office"",""building""]",http://nyoffice.com,en-US,qaclick123,application/json,200,Place created successfully
TC_003,Positive,Valid request with Southern hemisphere coordinates,-33.8688,151.2093,25,Sydney Tower,(+61) 2 9333 9222,100 Market St,"[""tower"",""tourist spot""]",http://sydneytower.com,en-AU,qaclick123,application/json,200,Place created successfully
TC_004,Positive,Valid request with accuracy = 1 (minimum meaningful),51.5074,-0.1278,1,Big Ben,(+44) 20 7219 4272,Westminster,"[""landmark"",""clock tower""]",http://parliament.uk,en-GB,qaclick123,application/json,200,Place created with minimum accuracy
TC_005,Positive,Valid request with large accuracy value,35.6762,139.6503,99999,Tokyo Tower,(+81) 3-3433-5111,4 Chome Shibakoen,"[""tower"",""tourist""]",http://tokyotower.co.jp,ja-JP,qaclick123,application/json,200,Place created with large accuracy
TC_006,Positive,Valid request with single type in array,48.8566,2.3522,15,Eiffel Tower,(+33) 892 701 239,Champ de Mars,"[""monument""]",http://toureiffel.paris,fr-FR,qaclick123,application/json,200,Place created with single type
TC_007,Positive,Valid request with HTTPS website,52.52,13.405,20,Brandenburg Gate,(+49) 30 25002333,Pariser Platz,"[""gate"",""landmark""]",https://visitberlin.de,de-DE,qaclick123,application/json,200,Place created with HTTPS website
TC_008,Positive,Valid request with special chars in address,41.9028,12.4964,10,Roman Colosseum,(+39) 06 3996 7700,"Piazza del Colosseo, 1","[""arena"",""historic""]",http://colosseo.it,it-IT,qaclick123,application/json,200,Place created with special chars in address
TC_009,Positive,Valid request with long name,-22.9068,-43.1729,40,Cristo Redentor Statue On Top Of Corcovado Mountain In Rio De Janeiro Brazil,(+55) 21 2558-1329,Parque Nacional da Tijuca,"[""statue"",""monument"",""tourist""]",http://cristoredentor.com.br,pt-BR,qaclick123,application/json,200,Place created with long name
TC_010,Negative,Missing location object entirely,,,50,Test Place,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,application/json,400,Error - location is required
TC_011,Negative,Missing lat in location,,33.427362,50,Test Place,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,application/json,400,Error - lat is required
TC_012,Negative,Missing lng in location,-38.383494,,50,Test Place,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,application/json,400,Error - lng is required
TC_013,Negative,Missing accuracy field,-38.383494,33.427362,,Test Place,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,application/json,400,Error - accuracy is required
TC_014,Negative,Missing name field,-38.383494,33.427362,50,,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,application/json,400,Error - name is required
TC_015,Negative,Missing phone_number field,-38.383494,33.427362,50,Test Place,,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,application/json,400,Error - phone_number is required
TC_016,Negative,Missing address field,-38.383494,33.427362,50,Test Place,(+91) 999 999 9999,,"[""shop""]",http://test.com,en-US,qaclick123,application/json,400,Error - address is required
TC_017,Negative,Missing types field,-38.383494,33.427362,50,Test Place,(+91) 999 999 9999,Test Address,,http://test.com,en-US,qaclick123,application/json,400,Error - types is required
TC_018,Negative,Missing website field,-38.383494,33.427362,50,Test Place,(+91) 999 999 9999,Test Address,"[""shop""]",,en-US,qaclick123,application/json,400,Error - website is required
TC_019,Negative,Missing language field,-38.383494,33.427362,50,Test Place,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,,qaclick123,application/json,400,Error - language is required
TC_020,Negative,Empty request body,,,,,,,,,,qaclick123,application/json,400,Error - empty request body
TC_021,Negative,Invalid JSON format (malformed body),,,,MALFORMED_JSON,,,,,,qaclick123,application/json,400,Error - invalid JSON syntax
TC_022,Negative,Invalid API key,-38.383494,33.427362,50,Test Place,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,en-US,INVALID_KEY,application/json,403,Error - forbidden due to invalid API key
TC_023,Negative,Missing API key,-38.383494,33.427362,50,Test Place,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,en-US,,application/json,403,Error - forbidden due to missing API key
TC_024,Negative,Wrong Content-Type header,-38.383494,33.427362,50,Test Place,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,text/plain,415,Error - unsupported media type
TC_025,Negative,Wrong HTTP method (GET instead of POST),-38.383494,33.427362,50,Test Place,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,application/json,405,Error - method not allowed
TC_026,Negative,String value for lat (type mismatch),abc,33.427362,50,Test Place,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,application/json,400,Error - lat must be a number
TC_027,Negative,String value for lng (type mismatch),-38.383494,xyz,50,Test Place,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,application/json,400,Error - lng must be a number
TC_028,Negative,String value for accuracy (type mismatch),-38.383494,33.427362,fifty,Test Place,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,application/json,400,Error - accuracy must be a number
TC_029,Negative,Negative accuracy value,-38.383494,33.427362,-10,Test Place,(+91) 999 999 9999,Test Address,"[""shop""]",http://test.com,en-US,qaclick123,application/json,400,Error - accuracy cannot be negative
